timestamp,motor_temperature,battery_voltage,motor_rpm,altitude,flight_mode
2026-09-23T10:00:00Z,43.65,12.572,5735,,AUTO
2026-09-23T10:00:01Z,43.16,12.601,5704,17.12,AUTO
2026-09-23T10:00:02Z,44.05,12.559,5738,17.14,AUTO
2026-09-23T10:00:03Z,43.23,12.588,5729,17.25,AUTO
2026-09-23T10:00:04Z,43.51,12.602,5745,18.15,AUTO
2026-09-23T10:00:05Z,43.87,12.628,5713,18.72,AUTO
2026-09-23T10:00:06Z,43.68,12.56,5710,17.62,AUTO
2026-09-23T10:00:07Z,44.74,12.56,5770,18.28,AUTO
2026-09-23T10:00:08Z,43.87,12.588,5714,17.12,AUTO
2026-09-23T10:00:09Z,43.56,12.596,5721,17.63,AUTO
2026-09-23T10:00:10Z,44.33,12.576,5742,18.59,AUTO
2026-09-23T10:00:11Z,44.57,12.558,5764,18.05,AUTO
2026-09-23T10:00:12Z,44.94,12.594,5762,18.96,AUTO
2026-09-23T10:00:13Z,43.44,12.567,5733,17.3,AUTO
2026-09-23T10:00:14Z,44.2,12.535,5755,18.53,AUTO
2026-09-23T10:00:15Z,44.39,12.6,5744,18.39,AUTO
2026-09-23T10:00:16Z,44.44,12.574,5753,18.68,AUTO
2026-09-23T10:00:17Z,45.16,12.564,5789,17.12,AUTO
2026-09-23T10:00:18Z,44.69,12.576,5789,18.64,AUTO
2026-09-23T10:00:19Z,43.87,12.553,5744,17.05,AUTO
2026-09-23T10:00:20Z,44.24,12.533,5729,17.12,AUTO
2026-09-23T10:00:21Z,44.87,12.528,5758,17.78,AUTO
2026-09-23T10:00:22Z,45.09,12.522,5776,18.1,AUTO
2026-09-23T10:00:23Z,45.13,12.58,5798,17.56,AUTO
2026-09-23T10:00:24Z,44.21,12.541,5767,18.92,AUTO
2026-09-23T10:00:25Z,43.7,12.524,5716,17.47,AUTO
2026-09-23T10:00:26Z,44.39,12.555,5742,17.01,AUTO
2026-09-23T10:00:27Z,44.27,12.536,5753,18.91,AUTO
2026-09-23T10:00:28Z,44.83,12.545,5775,18.35,AUTO
2026-09-23T10:00:29Z,43.57,12.574,5739,18.75,AUTO
2026-09-23T10:00:30Z,45.08,12.531,5773,17.21,AUTO
2026-09-23T10:00:31Z,44.76,12.503,5745,17.42,AUTO
2026-09-23T10:00:32Z,43.84,12.523,5712,17.0,AUTO
2026-09-23T10:00:33Z,43.83,12.502,5727,17.05,AUTO
2026-09-23T10:00:34Z,45.29,12.541,5768,17.5,AUTO
2026-09-23T10:00:35Z,44.25,12.519,5730,18.7,AUTO
2026-09-23T10:00:36Z,45.56,12.525,5794,17.17,AUTO
2026-09-23T10:00:37Z,43.8,12.513,5721,18.66,AUTO
2026-09-23T10:00:38Z,43.93,12.486,5760,18.06,AUTO
2026-09-23T10:00:39Z,43.92,12.525,5714,18.06,AUTO
2026-09-23T10:00:40Z,45.6,12.549,5806,17.52,AUTO
2026-09-23T10:00:41Z,44.39,12.491,5767,18.07,AUTO
2026-09-23T10:00:42Z,45.23,12.502,5769,18.62,AUTO
2026-09-23T10:00:43Z,45.66,12.542,5813,18.64,AUTO
2026-09-23T10:00:44Z,45.18,12.49,5782,17.71,AUTO
2026-09-23T10:00:45Z,43.78,12.472,5721,17.52,AUTO
2026-09-23T10:00:46Z,45.12,12.545,5777,18.87,AUTO
2026-09-23T10:00:47Z,45.73,12.542,5794,17.44,AUTO
2026-09-23T10:00:48Z,44.22,12.48,5733,18.25,AUTO
2026-09-23T10:00:49Z,45.58,12.529,5794,18.31,AUTO
2026-09-23T10:00:50Z,45.4,12.467,5797,18.82,AUTO
2026-09-23T10:00:51Z,45.38,12.518,5787,17.36,AUTO
2026-09-23T10:00:52Z,45.41,12.483,5804,18.94,AUTO
2026-09-23T10:00:53Z,44.64,12.486,5785,18.45,AUTO
2026-09-23T10:00:54Z,44.2,12.462,5730,18.81,AUTO
2026-09-23T10:00:55Z,45.49,12.462,5808,18.96,AUTO
2026-09-23T10:00:56Z,45.21,12.476,5785,17.26,AUTO
2026-09-23T10:00:57Z,43.94,12.524,5745,18.05,AUTO
2026-09-23T10:00:58Z,45.8,12.479,5822,18.65,AUTO
2026-09-23T10:00:59Z,44.37,12.462,5743,17.48,AUTO
2026-09-23T10:01:00Z,45.13,12.461,5776,17.26,AUTO
2026-09-23T10:01:01Z,45.8,12.466,5801,18.17,AUTO
2026-09-23T10:01:02Z,45.8,12.47,5824,18.0,AUTO
2026-09-23T10:01:03Z,45.07,12.476,5753,,AUTO
2026-09-23T10:01:04Z,44.9,12.447,5747,18.6,AUTO
2026-09-23T10:01:05Z,44.38,12.468,5765,18.11,AUTO
2026-09-23T10:01:06Z,44.71,12.469,5768,18.57,AUTO
2026-09-23T10:01:07Z,44.28,12.471,5737,17.55,AUTO
2026-09-23T10:01:08Z,45.63,12.465,5800,18.52,AUTO
2026-09-23T10:01:09Z,45.93,12.457,5813,18.01,AUTO
2026-09-23T10:01:10Z,45.14,12.475,5778,18.07,AUTO
2026-09-23T10:01:11Z,45.09,12.493,5788,18.75,AUTO
2026-09-23T10:01:12Z,46.04,12.437,5814,18.89,AUTO
2026-09-23T10:01:13Z,45.85,12.425,5786,17.88,AUTO
2026-09-23T10:01:14Z,44.33,12.431,5730,18.34,AUTO
2026-09-23T10:01:15Z,45.77,12.482,5785,18.43,AUTO
2026-09-23T10:01:16Z,45.54,12.419,5813,18.94,AUTO
2026-09-23T10:01:17Z,44.67,12.482,5758,17.97,AUTO
2026-09-23T10:01:18Z,46.23,12.471,5801,17.86,AUTO
2026-09-23T10:01:19Z,45.3,12.429,5770,17.64,AUTO
2026-09-23T10:01:20Z,45.72,12.402,5803,17.88,AUTO
2026-09-23T10:01:21Z,44.33,12.425,5758,18.02,AUTO
2026-09-23T10:01:22Z,44.44,12.475,5770,18.94,AUTO
2026-09-23T10:01:23Z,44.54,12.415,5736,18.56,AUTO
2026-09-23T10:01:24Z,44.88,12.402,5767,18.82,AUTO
2026-09-23T10:01:25Z,46.0,12.411,5792,18.84,AUTO
2026-09-23T10:01:26Z,45.52,12.444,5773,17.12,AUTO
2026-09-23T10:01:27Z,45.77,12.42,5781,18.88,AUTO
2026-09-23T10:01:28Z,45.68,12.448,5778,18.71,AUTO
2026-09-23T10:01:29Z,44.56,12.451,5757,17.68,AUTO
2026-09-23T10:01:30Z,45.55,12.454,5783,17.26,AUTO
2026-09-23T10:01:31Z,45.51,12.397,5773,17.32,AUTO
2026-09-23T10:01:32Z,44.57,12.392,5751,17.61,AUTO
2026-09-23T10:01:33Z,46.01,12.397,5810,17.36,AUTO
2026-09-23T10:01:34Z,45.2,12.373,5770,17.03,AUTO
2026-09-23T10:01:35Z,45.99,12.414,5794,17.95,AUTO
2026-09-23T10:01:36Z,46.41,12.377,5840,17.86,AUTO
2026-09-23T10:01:37Z,45.54,12.433,5789,18.01,AUTO
2026-09-23T10:01:38Z,45.94,12.443,5800,18.66,AUTO
2026-09-23T10:01:39Z,46.0,12.413,5805,17.7,AUTO
2026-09-23T10:01:40Z,44.71,12.37,5743,18.48,AUTO
2026-09-23T10:01:41Z,45.13,12.371,5759,18.68,AUTO
2026-09-23T10:01:42Z,46.37,12.41,5812,17.48,AUTO
2026-09-23T10:01:43Z,45.23,12.391,5766,17.89,AUTO
2026-09-23T10:01:44Z,45.19,12.429,5805,18.09,AUTO
2026-09-23T10:01:45Z,45.17,12.427,5771,17.71,AUTO
2026-09-23T10:01:46Z,44.7,12.379,5763,18.01,AUTO
2026-09-23T10:01:47Z,45.11,12.386,5754,17.53,AUTO
2026-09-23T10:01:48Z,44.91,12.376,5749,17.04,AUTO
2026-09-23T10:01:49Z,45.35,12.361,5792,18.06,AUTO
2026-09-23T10:01:50Z,46.26,12.393,5830,18.76,AUTO
2026-09-23T10:01:51Z,45.56,12.364,5819,17.3,AUTO
2026-09-23T10:01:52Z,46.24,12.387,5796,18.67,AUTO
2026-09-23T10:01:53Z,46.59,12.384,5842,18.62,AUTO
2026-09-23T10:01:54Z,45.1,12.374,5779,18.67,AUTO
2026-09-23T10:01:55Z,46.45,12.396,5830,18.79,AUTO
2026-09-23T10:01:56Z,46.22,12.383,5804,17.06,AUTO
2026-09-23T10:01:57Z,45.14,12.355,5760,18.67,AUTO
2026-09-23T10:01:58Z,46.01,12.374,5817,18.36,AUTO
2026-09-23T10:01:59Z,45.88,12.322,5821,18.5,AUTO
2026-09-23T10:02:00Z,45.93,12.363,5816,17.13,AUTO
2026-09-23T10:02:01Z,46.41,12.338,5803,17.53,AUTO
2026-09-23T10:02:02Z,46.41,12.332,5836,18.95,AUTO
2026-09-23T10:02:03Z,45.96,12.345,5808,18.37,AUTO
2026-09-23T10:02:04Z,46.52,12.361,5835,17.15,AUTO
2026-09-23T10:02:05Z,45.29,12.33,5797,17.61,AUTO
2026-09-23T10:02:06Z,46.15,12.309,5793,,AUTO
2026-09-23T10:02:07Z,45.57,12.36,5805,18.35,AUTO
2026-09-23T10:02:08Z,45.63,12.345,5795,17.93,AUTO
2026-09-23T10:02:09Z,45.3,12.373,5770,18.96,AUTO
2026-09-23T10:02:10Z,46.95,12.301,5841,18.64,AUTO
2026-09-23T10:02:11Z,47.03,12.334,5834,17.42,AUTO
2026-09-23T10:02:12Z,47.0,12.313,5849,17.28,AUTO
2026-09-23T10:02:13Z,46.18,12.37,5798,18.64,AUTO
2026-09-23T10:02:14Z,46.16,12.363,5826,17.46,AUTO
2026-09-23T10:02:15Z,46.96,12.329,5820,17.01,AUTO
2026-09-23T10:02:16Z,46.16,12.324,5806,17.28,AUTO
2026-09-23T10:02:17Z,45.88,12.311,5823,17.0,AUTO
2026-09-23T10:02:18Z,46.71,12.351,5816,18.85,AUTO
2026-09-23T10:02:19Z,46.65,12.354,5822,17.74,AUTO
2026-09-23T10:02:20Z,46.03,12.36,5816,17.72,AUTO
2026-09-23T10:02:21Z,46.11,12.3,5791,17.2,AUTO
2026-09-23T10:02:22Z,46.94,12.299,5865,17.5,AUTO
2026-09-23T10:02:23Z,45.82,12.315,5788,17.75,AUTO
2026-09-23T10:02:24Z,47.22,12.343,5868,18.26,AUTO
2026-09-23T10:02:25Z,47.15,12.345,5853,18.44,AUTO
2026-09-23T10:02:26Z,45.43,12.327,5788,18.51,AUTO
2026-09-23T10:02:27Z,46.64,12.289,5810,18.85,AUTO
2026-09-23T10:02:28Z,45.62,12.302,5789,17.6,AUTO
2026-09-23T10:02:29Z,46.86,12.34,5828,18.31,AUTO
2026-09-23T10:02:30Z,46.0,12.305,5805,17.33,AUTO
2026-09-23T10:02:31Z,45.74,12.275,5821,17.99,AUTO
2026-09-23T10:02:32Z,45.87,12.329,5830,17.9,AUTO
2026-09-23T10:02:33Z,45.73,12.269,5780,17.68,AUTO
2026-09-23T10:02:34Z,45.65,12.271,5786,18.14,AUTO
2026-09-23T10:02:35Z,47.25,12.31,5849,17.83,AUTO
2026-09-23T10:02:36Z,46.54,12.278,5821,17.12,AUTO
2026-09-23T10:02:37Z,46.07,12.323,5794,18.01,AUTO
2026-09-23T10:02:38Z,46.79,12.313,5823,17.54,AUTO
2026-09-23T10:02:39Z,46.04,12.274,5809,18.91,AUTO
2026-09-23T10:02:40Z,47.26,12.31,5830,17.06,AUTO
2026-09-23T10:02:41Z,47.0,12.31,5844,18.17,AUTO
2026-09-23T10:02:42Z,45.59,12.267,5817,18.65,AUTO
2026-09-23T10:02:43Z,47.32,12.312,5844,17.22,AUTO
2026-09-23T10:02:44Z,45.93,12.274,5817,18.88,AUTO
2026-09-23T10:02:45Z,47.08,12.282,5861,17.91,AUTO
2026-09-23T10:02:46Z,46.76,12.231,5851,17.47,AUTO
2026-09-23T10:02:47Z,47.51,12.278,5853,17.26,AUTO
2026-09-23T10:02:48Z,46.19,12.275,5827,17.22,AUTO
2026-09-23T10:02:49Z,45.84,12.264,5809,17.78,AUTO
2026-09-23T10:02:50Z,46.17,12.268,5791,17.6,AUTO
2026-09-23T10:02:51Z,46.66,12.295,5840,18.77,AUTO
2026-09-23T10:02:52Z,46.7,12.235,5822,18.92,AUTO
2026-09-23T10:02:53Z,47.18,12.239,5827,18.0,AUTO
2026-09-23T10:02:54Z,47.13,12.246,5837,18.33,AUTO
2026-09-23T10:02:55Z,47.65,12.228,5844,17.68,AUTO
